client_id,client_district_id,client_age,client_gender
1,18,28.07123287671233,F
2,1,53.942465753424656,M
3,1,58.26849315068493,F
4,5,42.11232876712329,M
5,5,38.52328767123288,F
6,12,79.33150684931506,M
7,15,69.98082191780821,M
8,51,60.9013698630137,F
9,60,63.25479452054795,M
10,57,55.70958904109589,M
11,57,48.394520547945206,F
12,40,17.873972602739727,M
13,54,24.610958904109587,F
14,76,56.56712328767123,F
15,21,80.4,F
16,21,79.9041095890411,M
17,76,64.26301369863013,M
18,76,67.78904109589041,F
19,47,56.04931506849315,M
20,46,20.005479452054793,M
21,12,46.205479452054796,F
22,1,29.243835616438357,F
23,1,25.610958904109587,M
24,43,59.46849315068493,F
25,21,59.73424657534247,F
26,74,29.720547945205478,F
27,54,32.79178082191781,F
28,1,53.293150684931504,M
29,30,47.33972602739726,F
30,74,41.25753424657534,F
31,68,36.917808219178085,M
32,52,18.44109589041096,M
33,73,50.10958904109589,F
36,7,20.473972602739725,F
37,7,28.413698630136988,M
38,36,25.46027397260274,F
39,68,30.956164383561642,M
40,5,41.96986301369863,F
41,22,30.367123287671234,M
42,68,63.41917808219178,M
43,75,78.23013698630137,M
44,38,21.986301369863014,F
45,20,46.38082191780822,M
46,19,58.961643835616435,F
47,76,64.5123287671233,M
48,16,58.93424657534246,M
49,72,39.67123287671233,F
50,39,20.438356164383563,F
51,36,19.095890410958905,F
52,32,74.1041095890411,M
53,64,21.673972602739727,M
55,45,50.320547945205476,F
56,21,38.78082191780822,M
57,21,37.06575342465754,F
58,1,71.72602739726027,F
59,1,41.895890410958906,M
60,67,18.87945205479452,M
61,16,50.43835616438356,F
62,77,66.10958904109589,M
63,4,39.605479452054794,M
64,20,72.74520547945205,M
65,50,55.63835616438356,F
66,1,47.175342465753424,F
67,29,66.18356164383562,F
68,43,52.084931506849315,M
70,70,73.07671232876713,M
71,70,71.95068493150686,F
72,47,76.01917808219179,M
73,22,74.91506849315068,M
74,22,73.48493150684932,F
75,64,21.2986301369863,F
76,36,31.273972602739725,F
77,1,42.8986301369863,F
78,16,54.58904109589041,F
79,37,29.832876712328765,F
80,64,19.863013698630137,F
81,8,22.69041095890411,M
82,8,19.03287671232877,F
83,1,20.03287671232877,F
84,1,19.673972602739727,M
85,1,37.37260273972603,M
86,1,29.471232876712328,F
87,72,52.15890410958904,F
89,1,47.69315068493151,F
90,52,23.39178082191781,M
91,63,58.441095890410956,M
92,74,32.57808219178082,F
93,3,73.92328767123287,M
94,43,51.347945205479455,M
95,43,46.443835616438356,F
96,74,26.85753424657534,M
97,26,33.11506849315069,M
98,33,25.67945205479452,F
99,33,25.947945205479453,M
100,44,56.43013698630137,F
101,68,55.97808219178082,M
102,74,40.33698630136986,F
103,74,43.50684931506849,M
105,31,18.613698630136987,M
106,68,30.024657534246575,F
107,1,26.542465753424658,M
108,17,35.326027397260276,M
110,2,31.742465753424657,F
112,1,63.97808219178082,M
113,1,58.41917808219178,F
114,74,29.542465753424658,F
115,74,29.041095890410958,M
116,74,56.964383561643835,M
117,74,62.323287671232876,F
118,55,76.5068493150685,M
119,55,76.89315068493151,F
120,1,22.660273972602738,M
121,41,20.18904109589041,F
122,35,35.15890410958904,F
123,11,29.904109589041095,M
124,44,31.301369863013697,M
125,37,62.21095890410959,M
126,37,69.30958904109589,F
127,21,48.04657534246575,F
128,63,25.76164383561644,F
129,64,51.62465753424657,F
130,53,56.917808219178085,M
131,53,21.931506849315067,F
132,36,45.961643835616435,M
134,6,67.0,M
135,6,60.35068493150685,F
136,55,77.98356164383561,F
137,60,75.35068493150685,M
138,54,26.213698630136985,F
139,8,39.465753424657535,F
140,8,37.5972602739726,M
141,31,73.21369863013699,M
142,68,61.57260273972603,M
143,27,20.495890410958904,M
144,65,40.0986301369863,M
145,55,20.893150684931506,M
146,31,37.06027397260274,F
147,21,65.20821917808219,F
148,21,58.057534246575344,M
149,55,50.54794520547945,M
150,2,18.273972602739725,F
151,51,27.293150684931508,F
152,29,53.11780821917808,F
153,13,17.895890410958906,F
154,74,65.3917808219178,M
155,74,59.846575342465755,F
156,54,68.4931506849315,F
157,52,55.52054794520548,F
158,40,53.534246575342465,F
159,40,60.35068493150685,M
160,64,56.723287671232875,F
161,34,55.273972602739725,F
162,65,57.24657534246575,M
163,74,65.6,M
164,70,36.76986301369863,F
165,22,30.167123287671235,M
166,22,37.21917808219178,F
167,38,20.720547945205478,F
168,24,22.16986301369863,F
169,38,45.33424657534247,M
170,38,52.58082191780822,F
171,51,69.56712328767124,M
172,51,63.28493150684932,F
173,21,80.12054794520547,F
174,10,20.156164383561645,M
175,31,38.49589041095891,M
176,4,69.85753424657534,M
178,8,38.05205479452055,M
179,43,18.019178082191782,M
180,73,16.96164383561644,M
181,76,31.512328767123286,M
182,76,39.4986301369863,F
183,1,20.802739726027397,F
184,1,26.59178082191781,M
185,77,44.62191780821918,M
186,46,37.88219178082192,F
187,58,56.397260273972606,M
188,64,38.35616438356164,M
189,11,79.44931506849315,M
190,37,51.205479452054796,F
191,37,44.35890410958904,M
192,70,27.86027397260274,M
193,1,36.6958904109589,M
194,28,74.08219178082192,F
195,74,79.17534246575343,M
196,74,71.56986301369864,F
197,30,65.73150684931507,M
198,60,22.482191780821918,M
199,29,75.58356164383562,M
200,29,71.01643835616439,F
201,17,68.41643835616438,F
202,29,22.126027397260273,F
203,31,36.586301369863016,M
204,31,31.564383561643837,F
205,4,56.586301369863016,F
206,59,35.74520547945205,F
207,46,66.66301369863014,M
208,13,58.558904109589044,F
209,13,63.41095890410959,M
210,66,59.12876712328767,M
211,66,53.54794520547945,F
212,52,23.90684931506849,M
215,71,31.293150684931508,M
216,1,38.94794520547945,M
217,59,24.043835616438358,F
218,1,18.953424657534246,F
219,60,34.772602739726025,F
221,21,21.863013698630137,F
222,47,26.526027397260275,F
223,43,46.87671232876713,F
224,77,43.673972602739724,M
225,32,62.68767123287671,M
226,1,56.583561643835615,M
227,52,72.08767123287672,F
228,48,42.824657534246576,F
229,76,29.465753424657535,M
230,74,31.835616438356166,F
231,41,57.90684931506849,M
232,55,77.59452054794521,F
233,69,40.106849315068494,F
234,69,43.56164383561644,M
235,44,55.38356164383562,F
236,70,37.35890410958904,M
237,70,29.876712328767123,F
238,6,37.11780821917808,F
239,1,24.326027397260273,F
240,34,69.58904109589041,F
241,70,39.967123287671235,M
242,17,37.443835616438356,F
243,63,44.92054794520548,M
246,67,28.03013698630137,F
247,1,41.679452054794524,M
248,61,29.073972602739726,F
249,61,28.67945205479452,M
250,8,19.115068493150684,F
251,54,22.846575342465755,F
252,37,29.353424657534248,F
253,48,51.676712328767124,F
254,28,35.61643835616438,M
255,27,47.25753424657534,F
256,73,35.868493150684934,F
257,22,56.1972602739726,F
258,22,61.63013698630137,M
259,31,32.58904109589041,M
260,31,36.87671232876713,F
261,38,61.10958904109589,F
262,77,53.136986301369866,M
263,68,36.64383561643836,M
264,28,20.375342465753423,M
265,72,66.02739726027397,F
266,19,31.367123287671234,F
267,37,31.578082191780823,M
268,39,16.67945205479452,F
269,15,75.13150684931507,F
270,46,51.85479452054795,M
271,46,53.46849315068493,F
272,70,54.221917808219175,F
273,27,26.649315068493152,F
274,17,28.12054794520548,F
275,1,80.1917808219178,F
276,1,41.586301369863016,M
277,1,37.11780821917808,F
278,22,26.03013698630137,F
279,22,28.649315068493152,M
280,45,29.057534246575344,F
282,73,60.893150684931506,F
283,73,65.2027397260274,M
284,10,24.421917808219177,M
285,72,44.61095890410959,M
286,72,46.73698630136986,F
287,50,18.323287671232876,M
288,6,36.723287671232875,M
289,54,40.794520547945204,M
290,72,39.9972602739726,M
291,72,43.71232876712329,F
292,15,40.347945205479455,F
293,69,55.3013698630137,M
294,58,30.802739726027397,M
295,12,59.80821917808219,M
296,65,24.854794520547944,M
297,65,74.84931506849315,F
298,65,77.6054794520548,M
300,1,41.45205479452055,F
301,28,57.013698630136986,M
302,56,27.873972602739727,M
303,74,52.69315068493151,M
304,19,64.85479452054794,F
305,46,60.608219178082194,M
308,68,22.56986301369863,F
309,37,29.068493150684933,F
310,11,48.74520547945205,M
311,64,68.33972602739726,F
312,2,74.54794520547945,M
313,24,56.68219178082192,F
314,24,53.81643835616438,M
315,54,31.693150684931506,M
316,75,43.70958904109589,M
317,64,41.26575342465753,F
318,15,55.78904109589041,F
319,19,69.79178082191781,F
320,19,64.18082191780822,M
321,47,55.227397260273975,F
322,38,65.95890410958904,M
323,38,60.78630136986301,F
324,3,38.104109589041094,M
325,3,38.88767123287671,M
326,27,31.30958904109589,F
327,27,30.23835616438356,M
328,1,80.99178082191781,F
329,11,34.1013698630137,M
330,65,54.443835616438356,F
331,1,56.87397260273973,M
332,29,20.45205479452055,M
333,38,27.221917808219178,M
334,32,29.18904109589041,M
335,73,31.46849315068493,F
336,39,34.912328767123284,F
337,39,41.679452054794524,M
338,8,47.56986301369863,F
339,1,32.446575342465756,M
340,1,28.389041095890413,F
341,69,21.81095890410959,M
342,69,26.523287671232875,F
343,44,79.17260273972603,M
344,54,35.487671232876714,F
345,17,45.0986301369863,M
346,17,38.18904109589041,F
347,71,39.07945205479452,M
348,71,45.967123287671235,F
349,39,71.64931506849315,F
350,25,73.8,F
351,1,25.687671232876713,M
352,56,58.38630136986301,M
353,7,33.205479452054796,M
354,49,76.73424657534247,F
